Player 1,Player 2,Score Player 1,Score Player 2
510,1481,308,48
510,1482,104,99
510,1513,104,99
510,1548,104,99
510,1555,104,99
510,1591,276,56
510,1692,500,0
510,1762,104,99
510,1775,104,99
510,1812,100,100
510,1840,500,0
510,1860,336,41
510,1951,308,48
510,1994,104,99
510,1997,500,0
510,2029,500,0
510,2046,100,100
510,2057,100,100
510,2090,304,49
510,2149,104,99
510,2193,100,100
510,2248,104,99
510,2358,316,46
510,2421,284,54
510,2502,284,54
510,2524,100,100
510,2617,284,54
510,2644,104,99
510,2692,100,100
510,2713,288,53
510,2743,104,99
510,2818,104,99
510,2853,104,99
510,3016,500,0
510,3052,100,100
510,3101,104,99
510,3145,500,0
510,3177,292,52
510,3183,104,99
510,3215,500,0
510,3312,100,100
510,3341,104,99
510,3353,500,0
510,3373,312,47
510,3401,324,44
510,3426,100,100
510,3458,500,0
510,3484,500,0
510,3489,500,0
510,3498,100,100
510,3584,280,55
510,3602,104,99
510,3604,500,0
510,3608,288,53
510,3630,340,40
510,3632,104,99
510,3678,500,0
510,3689,104,99
510,3714,104,99
510,3745,104,99
510,3777,100,100
510,3788,500,0
510,3795,500,0
510,3820,500,0
510,3823,280,55
510,3947,100,100
510,4246,272,57
510,4267,100,100
510,4268,104,99
510,4316,100,100
510,4322,104,99
510,4363,104,99
510,4379,104,99
510,4389,304,49
510,4413,308,48
510,4427,100,100
510,4450,100,100
510,4452,500,0
510,4480,500,0
510,4515,100,100
510,4553,500,0
510,4587,308,48
510,4601,104,99
510,4604,104,99
510,4672,308,48
510,4694,500,0
510,4721,104,99
510,4744,100,100
510,4745,104,99
510,4799,100,100
510,4948,316,46
510,4957,100,100
510,4994,104,99
510,5026,280,55
510,5028,500,0
510,5034,500,0
510,5040,100,100
510,5055,328,43
510,5096,104,99
510,5099,100,100
510,5107,308,48
510,5109,104,99
510,5204,104,99
510,5259,500,0
510,5369,104,99
510,5414,500,0
510,5432,500,0
510,5483,288,53
510,5530,500,0
510,5668,100,100
510,5701,500,0
510,5783,104,99
510,5824,500,0
510,5855,500,0
510,5925,500,0
510,6005,104,99
510,6076,104,99
510,6130,104,99
510,6140,500,0
510,6150,500,0
510,6163,100,100
510,6170,100,100
510,6197,276,56
510,6225,500,0
510,6298,100,100
510,6341,500,0
510,6384,100,100
533,23,150,400
533,27,300,300
533,58,0,500
533,62,0,500
533,81,300,300
533,125,156,396
533,128,300,300
533,151,0,500
533,169,0,500
533,175,162,392
533,194,147,402
533,214,300,300
533,224,300,300
533,229,300,300
533,231,300,300
533,240,300,300
533,263,129,414
533,267,300,300
533,272,0,500
533,277,300,300
533,373,0,500
533,378,300,300
533,383,159,394
533,389,300,300
533,396,300,300
533,417,0,500
533,419,0,500
533,433,300,300
533,492,300,300
533,505,300,300
533,522,300,300
533,573,300,300
533,583,300,300
533,588,174,384
533,601,300,300
533,626,159,394
533,657,300,300
533,661,0,500
533,703,300,300
533,710,0,500
533,715,300,300
533,750,0,500
533,756,165,390
533,759,144,404
533,770,300,300
533,792,300,300
533,799,138,408
533,807,0,500
533,820,300,300
533,839,0,500
533,893,300,300
533,896,0,500
533,939,300,300
533,963,0,500
533,969,300,300
533,975,300,300
533,1065,0,500
533,1149,153,398
533,1163,0,500
533,1166,0,500
533,1173,144,404
533,1174,300,300
533,1177,0,500
533,1200,0,500
