Node 1,Node 2,Score Player 1,Score Player 2
458,4260,300,300
458,4268,300,300
458,4325,0,500
458,4329,300,300
458,4353,0,500
458,4447,0,500
458,4448,135,410
458,4453,0,500
458,4469,180,380
458,4479,300,300
458,4556,300,300
458,4587,0,500
458,4613,300,300
458,4624,300,300
458,4640,300,300
458,4675,300,300
458,4688,0,500
458,4699,156,396
458,4725,0,500
458,4755,300,300
458,4782,0,500
458,4796,159,394
458,4883,0,500
458,4890,300,300
458,4921,0,500
458,4928,300,300
458,4938,300,300
458,4950,0,500
458,4970,0,500
458,4980,0,500
458,4983,156,396
458,4984,153,398
458,4992,150,400
458,5003,300,300
458,5011,300,300
458,5013,300,300
458,5048,0,500
458,5092,0,500
458,5093,141,406
458,5111,0,500
458,5120,171,386
458,5145,0,500
458,5158,0,500
458,5191,300,300
458,5232,147,402
458,5320,300,300
458,5361,300,300
458,5363,300,300
458,5378,0,500
458,5401,147,402
458,5454,300,300
458,5512,0,500
458,5520,123,418
458,5536,300,300
458,5553,135,410
458,5616,0,500
458,5629,144,404
458,5632,300,300
458,5636,0,500
458,5677,0,500
458,5682,0,500
458,5689,300,300
458,5702,300,300
458,5710,300,300
458,5712,300,300
458,5726,0,500
458,5728,0,500
458,5761,300,300
458,5762,300,300
458,5763,300,300
458,5766,0,500
458,5802,300,300
458,5880,0,500
458,5882,144,404
458,5890,0,500
458,5926,300,300
458,5963,141,406
458,5970,147,402
458,5987,300,300
458,6019,300,300
458,6053,300,300
458,6068,300,300
458,6080,0,500
458,6150,0,500
458,6157,144,404
458,6163,300,300
458,6170,0,500
458,6197,168,388
458,6232,300,300
458,6242,300,300
458,6262,0,500
458,6281,0,500
458,6319,165,390
458,6321,300,300
458,6327,159,394
474,9,410,135
474,40,392,162
474,157,238,223
474,231,220,215
474,354,237,237
474,373,229,229
474,444,57,272
474,478,412,132
474,493,209,209
474,510,47,312
474,536,414,129
474,567,44,324
474,568,52,292
474,650,229,234
474,685,392,162
474,799,404,144
474,863,404,144
474,895,48,308
474,906,251,201
474,913,54,284
474,960,235,230
474,970,236,216
474,976,223,228
474,1051,392,162
474,1126,241,211
474,1127,219,219
474,1144,53,288
474,1145,235,235
474,1157,45,320
474,1244,234,234
474,1307,42,332
474,1501,398,153
474,1548,406,141
474,1578,392,162
474,1634,228,223
474,1762,226,226
474,1809,392,162
474,1835,250,205
