Player 1,Player 2,Score Player 1,Score Player 2
474,2871,169,224
474,2893,300,300
474,2928,283,203
474,3049,148,273
474,3145,251,201
474,3164,300,300
474,3230,283,203
474,3273,50,300
474,3341,283,203
474,3347,300,300
474,3357,192,222
474,3431,300,300
474,3435,300,300
474,3489,283,203
474,3524,300,300
474,3533,300,300
474,3561,50,300
474,3568,300,300
474,3588,300,300
474,3595,300,300
474,3630,300,300
474,3635,300,300
474,3651,283,203
474,3655,283,203
474,3669,250,225
474,3678,149,249
474,3744,300,300
474,3760,300,300
474,3761,50,300
474,3803,300,300
474,3836,233,213
474,4076,283,203
474,4102,234,239
474,4210,266,191
474,4268,50,300
474,4298,169,234
474,4306,158,233
474,4323,188,218
474,4367,300,300
474,4453,300,300
474,4456,151,266
474,4543,283,203
474,4553,283,203
474,4583,211,231
474,4587,50,300
474,4590,199,209
474,4644,300,300
474,4672,300,300
474,4699,50,300
474,4715,167,227
474,4755,196,231
474,4887,186,231
474,4946,50,300
474,4950,283,203
474,4970,283,203
474,4980,120,255
474,4996,300,300
474,5003,144,269
474,5042,283,203
474,5107,50,300
474,5204,300,300
474,5229,242,222
474,5232,300,300
474,5320,183,218
474,5361,50,300
474,5454,300,300
474,5536,300,300
474,5650,185,215
474,5724,195,245
474,5728,174,254
474,5748,300,300
474,5846,202,212
474,5886,283,203
474,5962,300,300
474,5963,300,300
474,5980,283,203
474,5981,175,225
474,6053,300,300
474,6147,283,203
474,6150,152,237
474,6170,283,203
474,6232,300,300
474,6241,138,248
474,6321,216,236
474,6383,237,222
510,66,300,300
510,175,300,300
510,265,300,300
510,273,300,300
510,297,189,219
510,336,283,203
510,369,300,300
510,502,300,300
510,504,192,212
510,590,192,222
510,670,283,203
510,799,300,300
510,816,50,300
510,822,283,203
510,865,185,215
510,872,300,300
510,969,300,300
510,1024,50,300
510,1025,300,300
510,1037,226,231
510,1043,300,300
510,1163,173,233
510,1307,211,216
510,1373,300,300
510,1395,300,300
510,1481,300,300
510,1482,50,300
510,1513,283,203
510,1548,50,300
510,1555,300,300
510,1591,300,300
510,1692,300,300
510,1762,50,300
510,1775,300,300
510,1812,300,300
510,1840,300,300
510,1860,218,228
510,1951,300,300
510,1994,300,300
510,1997,283,203
510,2029,259,209
510,2046,300,300
510,2057,300,300
510,2090,300,300
510,2149,283,203
510,2193,300,300
510,2248,300,300
510,2358,300,300
510,2421,300,300
510,2502,300,300
510,2524,300,300
510,2617,300,300
510,2644,50,300
510,2692,173,233
510,2713,259,204
510,2743,125,275
510,2818,300,300
510,2853,222,252
510,3016,300,300
510,3052,300,300
510,3101,300,300
510,3145,208,243
510,3177,50,300
510,3183,242,227
510,3215,50,300
510,3312,50,300
510,3341,283,203
510,3353,223,233
510,3373,300,300
510,3401,283,203
510,3426,300,300
510,3458,283,203
510,3484,300,300
510,3489,283,203
510,3498,220,230
510,3584,300,300
510,3602,300,300
510,3604,50,300
510,3608,50,300
510,3630,300,300
510,3632,283,203
510,3678,159,269
510,3689,194,224
510,3714,300,300
510,3745,300,300
510,3777,300,300
510,3788,50,300
510,3795,300,300
510,3820,50,300
510,3823,300,300
510,3947,247,207
510,4246,300,300
510,4267,117,272
510,4268,50,300
510,4316,300,300
510,4322,300,300
510,4363,283,203
510,4379,205,240
510,4389,50,300
510,4413,255,200
510,4427,300,300
